Организация;Юридический адрес;УНП организации;Телефон;email
Общество с ограниченной ответственностью «Охотничье хозяйство «Белый Бор»;223927, Минская обл., г. Копыль, ул. Пролетарская, д. 14, к. 14;192456463;Тел. +735-29-697-10-52,;2160092@mail.ru
Государственное лесохозяйственное учреждение «Лепельский лесхоз»;211174, Витебская область, г. Лепель, ул. Деповская, 1;300039426;Тел. (2132)40200, 692-00;lepelles@rambler.ru, Lepel.les@yandex.ru
Общество с ограниченной ответственностью «Обстерно»;211930, Витебская обл., г. Миоры, ул. Коммунистическая, 12/6;390295737;Тел: 802152-562-76,;obsterno2013@yandex.by
Общество с ограниченной ответственностью «Мастер урожая»;220114, г. Минск, ул. Франциска Скорины, д. 8, этаж 7, пом. 41л;192186965;Тел: 238-11-78, 238-11-80, 238-04-18, 8029-188-15-42, 8029-188-06-09;macter.by@bk.ru
Общество с ограниченной ответственностью «Франдеса»;225209, Брестская обл., Березовский р-н, 1;290459104;Тел. +375 (17) 200 09 22, +375 17 221 40 61;info@frandesa.by
Закрытое акционерное общество «Август-Бел»;"222840, Минская область, Дукорский сельсовет, Пуховичский район, ЗАО ""Август-Бел""";690604286;Тел. (01713) 93-800,  93-903 (факс);mail@august-bel.by
Открытое акционерное общество «Гомельский химический завод»;246026, г. Гомель, ул. Химзаводская, 5;400069905;Тел. (0232) 492 251, 49-25-33, 492-357,;gochem@tut.by, abonent@himzavod.by
Общество с ограниченной ответственностью «Агроритм»;224028, г. Брест, пер. Коммерческий 2-й, д. 2, каб. 21;291547169;+375 29 116 78 98, +375 162 505 925, 214-539;info@agroritm.by
Общество с ограниченной ответственностью «Открытый горизонт»;224023, г. Брест, ул. Московская, 208-3, кабинет 19;291179668;Тел.: 80162 27-29-40, факс: 80162-27-29-42;Brestohorizont@tut.by
Общество с ограниченной ответственностью «Белхимпродукт»;223018, Минская обл., Минский р-н, д. Тарасово, ул. Придорожная, д. 1, корпус 2 офис 1;191701367;"+375 (17) 510 66 33; +375 (29) 676 76 17";office@belhp.by
Открытое акционерное общество «Гроднорайагросервис»;230003,  Гродненский район, станция Аульс;500030462;Тел. (0152) 55-22-99, 55-36-92;oao-gras@mail.ru, natali.buzun@mail.ru
Общество с ограниченной ответственностью «АгроАнализ-Бел»;220030, г. Минск, ул. Мясникова, д. 11Г, офис 5;191553738;Тел.: 8017-350-26-51;n-6016200@yandex.ru, agroanalizbel@mail.ru
Итого: Общество с ограниченной ответственностью «Охотничье хозяйство «Белый Бор», Государственное лесохозяйственное учреждение «Лепельский лесхоз», Общество с ограниченной ответственностью «Обстерно», Общество с ограниченной ответственностью «Мастер урожая», Общество с ограниченной ответственностью «Франдеса», Закрытое акционерное общество «Август-Бел», Открытое акционерное общество «Гомельский химический завод», Общество с ограниченной ответственностью «Агроритм», Общество с ограниченной ответственностью «Открытый горизонт», Общество с ограниченной ответственностью «Белхимпродукт», Открытое акционерное общество «Гроднорайагросервис», Общество с ограниченной ответственностью «АгроАнализ-Бел»;;;;"Итого: 2160092@mail.ru; lepelles@rambler.ru, Lepel.les@yandex.ru; obsterno2013@yandex.by; macter.by@bk.ru; info@frandesa.by; mail@august-bel.by; gochem@tut.by, abonent@himzavod.by; info@agroritm.by; Brestohorizont@tut.by; office@belhp.by; oao-gras@mail.ru, natali.buzun@mail.ru; n-6016200@yandex.ru, agroanalizbel@mail.ru"
